Date,AMZN,DPZ,BTC,NFLX
2013-09-26,318.119995,63.789608,138.929993,44.787144
2013-09-27,316.01001,63.695332,142.5,44.628571
2013-09-30,312.640015,64.07251,140.300003,44.172855
2013-10-01,320.950012,65.55291,123.0,46.374287
2013-10-02,320.51001,65.656624,130.990005,47.247143
2013-10-03,314.76001,64.440239,136.820007,45.959999
2013-10-04,319.040009,64.807991,136.699997,46.751427
2013-10-07,310.029999,64.459106,136.490005,45.451427
2013-10-08,303.230011,63.582165,139.5,43.188572
2013-10-09,298.230011,62.790096,140.410004,41.204285
2013-10-10,305.170013,63.346451,140.100006,43.427143
2013-10-11,310.890015,64.459106,142.889999,42.978573
2013-10-14,310.700012,64.921143,158.089996,46.337143
2013-10-15,306.399994,61.196548,152.820007,45.955715
2013-10-16,310.48999,62.856117,157.589996,46.125713
2013-10-17,310.769989,62.827831,168.279999,47.157143
2013-10-18,328.929993,63.223888,183.149994,47.642857
2013-10-21,326.440002,63.157848,202.990005,50.712856
2013-10-22,332.540009,63.374718,227.970001,46.074287
2013-10-23,326.76001,62.563797,206.979996,47.177143
2013-10-24,332.209991,63.54446,197.880005,47.317142
2013-10-25,363.390015,63.657604,188.559998,46.861427
2013-10-28,358.160004,63.770752,206.899994,44.857143
2013-10-29,362.700012,64.459106,216.0,46.757141
2013-10-30,361.079987,63.997063,208.0,45.44857
2013-10-31,364.029999,63.233269,211.169998,46.068573
2013-11-01,359.0,63.072983,213.429993,47.03857
2013-11-04,358.73999,63.270996,238.160004,48.228573
2013-11-05,358.890015,64.129082,251.300003,48.785713
2013-11-06,356.179993,64.053642,264.100006,47.947144
2013-11-07,343.559998,62.893829,309.649994,46.694286
2013-11-08,350.309998,63.742489,355.0,47.842857
2013-11-11,354.380005,63.940491,362.980011,48.272858
2013-11-12,349.529999,64.534546,380.040009,47.675713
2013-11-13,356.220001,65.260582,434.850006,47.897144
2013-11-14,367.399994,65.270035,433.399994,48.938572
2013-11-15,369.170013,64.911713,433.920013,49.965714
2013-11-18,366.179993,63.997063,785.429993,48.824287
2013-11-19,364.940002,63.799042,645.690002,48.184284
2013-11-20,362.570007,64.110199,637.969971,48.502857
2013-11-21,368.920013,65.204048,764.909973,49.785713
2013-11-22,372.309998,65.769783,802.0,49.692856
2013-11-25,376.640015,65.55291,829.98999,50.034286
2013-11-26,381.369995,65.439758,969.960022,50.742859
2013-11-27,386.709991,65.354889,1079.890015,51.784286
2013-11-29,393.619995,65.185158,1206.930054,52.257141
2013-12-02,392.299988,64.657112,1096.560059,51.988571
2013-12-03,384.660004,64.345947,1154.859985,51.848572
2013-12-04,385.959991,64.789124,1237.550049,50.895714
2013-12-05,384.48999,65.354889,1106.349976,51.151428
2013-12-06,386.950012,65.79808,845.02002,50.634285
2013-12-09,384.890015,66.590141,918.950012,50.810001
2013-12-10,387.779999,65.760361,1033.719971,51.871429
2013-12-11,382.190002,65.268616,919.929993,51.997143
2013-12-12,381.25,65.278084,899.97998,53.332859
2013-12-13,384.23999,65.429375,936.77002,52.709999
2013-12-16,388.970001,65.732018,759.919983,52.330002
2013-12-17,387.649994,65.741447,714.969971,53.552856
2013-12-18,395.959991,66.157532,540.97998,53.748573
2013-12-19,395.190002,64.94709,731.950012,53.82
2013-12-20,402.200012,65.202393,649.960022,53.667141
2013-12-23,402.920013,65.892746,713.23999,54.368572
2013-12-24,399.200012,66.062965,702.75,54.055714
2013-12-26,404.390015,66.838394,801.97998,53.847141
2013-12-27,398.079987,66.384476,803.049988,52.5
2013-12-30,393.369995,66.119705,804.830017,52.427143
2013-12-31,398.790009,65.864372,805.940002,52.595715
2014-01-02,397.970001,65.192986,856.909973,51.831429
2014-01-03,396.440002,65.23082,884.26001,51.871429
2014-01-06,393.630005,65.344261,1012.650024,51.367142
2014-01-07,398.029999,65.88327,879.900024,48.5
2014-01-08,401.920013,65.987312,938.840027,48.712856
2014-01-09,401.01001,66.460144,936.950012,48.150002
2014-01-10,397.660004,67.339592,957.76001,47.44857
2014-01-13,390.980011,67.093712,922.909973,48.115715
2014-01-14,397.540009,67.141006,919.280029,48.279999
2014-01-15,395.869995,67.339592,941.219971,47.197144
2014-01-16,395.799988,67.216675,913.48999,47.382858
2014-01-17,399.609985,67.755646,894.159973,47.148571
2014-01-21,407.049988,68.096123,962.210022,46.958572
2014-01-22,404.540009,69.401108,950.950012,47.675713
2014-01-23,399.869995,68.890442,944.159973,55.531429
2014-01-24,387.600006,67.311211,916.549988,55.154285
2014-01-27,386.279999,66.299362,943.539978,54.46143
2014-01-28,394.429993,66.062965,932.679993,58.110001
2014-01-29,384.200012,64.966011,925.669983,57.202858
2014-01-30,403.01001,65.788719,941.390015,57.810001
2014-01-31,358.690002,66.772202,938.849976,58.475716
2014-02-03,346.149994,63.906876,931.710022,57.76857
2014-02-04,347.950012,64.587769,926.640015,57.987144
2014-02-05,346.450012,63.519157,904.52002,57.774284
2014-02-06,354.589996,63.98254,828.869995,58.272858
2014-02-07,361.079987,65.722534,695.650024,61.425713
2014-02-10,360.869995,66.081871,582.630005,61.491428
2014-02-11,361.790009,66.630348,578.960022,61.998573
2014-02-12,349.25,66.961319,531.130005,61.275715
2014-02-13,357.200012,67.89753,451.440002,62.364285
2014-02-14,357.350006,68.256851,427.679993,62.215714
2014-02-18,353.649994,68.143394,293.950012,62.407143
2014-02-19,347.380005,67.935333,261.529999,61.175713
2014-02-20,349.799988,68.33252,111.919998,62.135715
2014-02-21,346.76001,69.2687,111.559998,61.747143
2014-02-24,351.779999,70.630447,174.0,63.857143
2014-02-25,358.320007,70.951965,135.779999,64.718575
2014-02-26,359.799988,73.429558,593.140015,64.112854
2014-02-27,360.130005,73.751083,596.48999,64.604286
2014-02-28,362.100006,74.762932,573.940002,63.66143
2014-03-03,359.779999,74.498146,662.179993,63.655716
2014-03-04,363.899994,75.160095,661.849976,64.997147
2014-03-05,372.369995,74.810204,658.299988,64.785713
2014-03-06,372.160004,74.885857,648.26001,64.358574
2014-03-07,372.059998,75.02771,616.72998,64.052856
2014-03-10,370.529999,75.235756,612.969971,62.849998
2014-03-11,368.820007,74.753471,608.690002,62.497143
2014-03-12,370.640015,75.815948,619.429993,62.368572
2014-03-13,371.51001,74.857811,625.039978,61.437141
2014-03-14,373.73999,75.474449,614.030029,60.64143
2014-03-17,375.040009,75.91082,606.380005,60.388573
2014-03-18,378.769989,75.872856,598.929993,60.035713
2014-03-19,373.230011,74.250671,594.960022,60.012856
2014-03-20,368.970001,74.791412,565.98999,60.610001
2014-03-21,360.619995,73.548691,549.599976,57.998573
2014-03-24,351.850006,72.894119,567.559998,54.128571
2014-03-25,354.709991,72.704384,562.890015,52.977142
2014-03-26,343.410004,71.660873,562.450012,53.182858
2014-03-27,338.470001,71.395241,460.450012,52.025715
2014-03-28,338.290009,72.315468,482.609985,51.267143
2014-03-31,336.369995,73.017441,463.450012,50.290001
2014-04-01,342.98999,74.582718,424.369995,52.098572
2014-04-02,341.959991,74.184288,436.309998,51.84
2014-04-03,333.619995,73.634079,444.359985,50.669998
2014-04-04,323.0,71.556519,456.630005,48.187141
